./images/5264.jpg: [66.98486995697021, 156.99068212509155]
./images/2251.jpg: [16.496633052825928, 157.42169308662415]
./images/im32_edit8.jpg: [88.91446805000305, 206.2644808292389]
./images/im37_edit7.jpg: [158.887521982193, 364.56213903427124]
./images/5660.jpg: [35.019176959991455, 154.23160004615784]
./images/2318.jpg: [83.41092705726624, 156.09466409683228]
./images/im25_edit1.jpg: [21.877866983413696, 51.097578048706055]
./images/im37_edit6.jpg: [66.69285202026367, 207.5775909423828]
./images/2867.jpg: [67.10878705978394, 154.34044694900513]
./images/im32_edit9.jpg: [33.11992907524109, 51.401652097702026]
./images/2536.jpg: [66.49871587753296, 155.88641619682312]
./images/im31_edit1.jpg: [49.91143584251404, 156.2651388645172]
./images/im9_edit3.jpg: [10.946933031082153, 106.75043797492981]
./images/2508.jpg: [66.78278398513794, 159.06965708732605]
./images/im31_edit3.jpg: [51.77316617965698, 161.6858627796173]
./images/im37_edit4.jpg: [115.65557599067688, 213.2041461467743]
./images/im28_edit1.jpg: [27.52007484436035, 52.46117305755615]
./images/im25_edit2.jpg: [10.906280040740967, 51.14389681816101]
./images/im37_edit5.jpg: [11.064035892486572, 103.50071406364441]
./images/im31_edit2.jpg: [49.7685010433197, 154.54268407821655]
./images/5266.jpg: [66.54678988456726, 155.2006859779358]
./images/im36_edit1.jpg: [10.980942010879517, 105.0363450050354]
./images/im35_edit12.jpg: [22.05717706680298, 103.94355607032776]
./images/5567.jpg: [16.522443056106567, 155.21314692497253]
./images/im35_edit9.jpg: [44.06276607513428, 103.13383984565735]
./images/im41_edit2.jpg: [66.80726504325867, 155.72780990600586]
./images/im8_edit4.jpg: [184.4627480506897, 595.241317987442]
./images/im22_edit1.jpg: [44.494444847106934, 204.21242499351501]
./images/im41_edit3.jpg: [199.76296496391296, 312.60446405410767]
./images/5770.jpg: [103.90137600898743, 162.29751706123352]
./images/im17_edit1.jpg: [5.087290048599243, 53.803930044174194]
./images/im35_edit8.jpg: [23.205659866333008, 53.32954287528992]
